NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"NURCHALIS, SP., MSi.",N,Laki-Laki,KOTA BANDA ACEH,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Male
2,"Dr. Ir. JAMIL ANSARI, SH, MM",N,Laki-Laki,JAKARTA BARAT,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Male
3,"IRA HADIATI, SH",N,Perempuan,JAKARTA SELATAN,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Female
4,"H. JUNAIDI, SE",N,Laki-Laki,KOTA BANDA ACEH,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Male
5,SUMIATI,N,Perempuan,KOTA BANDA ACEH,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Female
6,DASLELIATI,N,Perempuan,KOTA BANDA ACEH,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Female
7,"H. SAYED FUAD ZAKARIA, SE",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Berkarya,Partai Berkarya,Aceh I,Aceh,Male
1,Drs. TEUKU BUSTAMI UMAR,N,Laki-Laki,JAKARTA SELATAN,Partai Berkarya,Partai Berkarya,Aceh II,Aceh,Male
2,"Drs. T.A. RAHMAN ALBA, MM",N,Laki-Laki,JAKARTA SELATAN,Partai Berkarya,Partai Berkarya,Aceh II,Aceh,Male
3,SELVI OKTARICA,N,Perempuan,ACEH UTARA,Partai Berkarya,Partai Berkarya,Aceh II,Aceh,Female
4,"H. NASRUL FUAD, SE, AK",N,Laki-Laki,KOTA BOGOR,Partai Berkarya,Partai Berkarya,Aceh II,Aceh,Male
5,SUNDARI,N,Perempuan,KOTA BANDA ACEH,Partai Berkarya,Partai Berkarya,Aceh II,Aceh,Female
6,HAMDANI IDRIS,N,Laki-Laki,KOTA LHOKSEUMAWE,Partai Berkarya,Partai Berkarya,Aceh II,Aceh,Male
1,"RAJAMIN SIRAIT, SE",N,Laki-Laki,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Male
2,"IRJEN POL. (PURN) Drs. H. WISJNU AMAT S., SH",N,Laki-Laki,JAKARTA SELATAN,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Male
3,ALDANALIA DELVI,N,Perempuan,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Female
4,"BOBBY APRILIANO SYAM LUBIS, SE",N,Laki-Laki,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Male
5,"MURNI ABRIDAYANI NST, S.PDI",N,Perempuan,SERDANG BEDAGAI,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Female
6,JUNAIDI SIBUEA,N,Laki-Laki,JAKARTA BARAT,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Male
7,Drs. H. ZAINAL ARIFIN,N,Laki-Laki,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Male
8,YANNI,N,Perempuan,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Female
9,RAMLAN,N,Laki-Laki,KOTA DEPOK,Partai Berkarya,Partai Berkarya,Sumatera Utara I,Sumatera Utara,Male
1,"Prof. ZAINAL ARIFIN HASIBUAN, Ph.D",N,Laki-Laki,JAKARTA TIMUR,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Male
2,"RIMSO MARULI SINAGA, SH, MH",N,Laki-Laki,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Male
3,DEVA RUFI AGNESTIN,N,Perempuan,KOTA MEDAN,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Female
4,"PDT AMI HARI HONDO, S.TH",N,Laki-Laki,DELI SERDANG,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Male
5,Drs. ALAMAT SINAMBELA,N,Laki-Laki,KOTA DEPOK,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Male
6,RAMAYANTI LUBIS,N,Perempuan,KOTA BEKASI,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Female
7,Dra. JULITA INDIANI,N,Perempuan,JAKARTA SELATAN,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Female
8,MUHAMMAD SULAIMAN BUDI NASUTION,N,Laki-Laki,PADANG LAWAS,Partai Berkarya,Partai Berkarya,Sumatera Utara II,Sumatera Utara,Male
