NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,H. TEUKU RIEFKY HARSYA,Y,Laki-Laki,JAKARTA SELATAN,Partai Demokrat,Demokrat,Aceh I,Aceh,Male
2,"M. TANWIER MAHDI, S.Ag.MM",N,Laki-Laki,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh I,Aceh,Male
3,"ZAIYANA PUTRI, S.Pd.M.Pd",N,Perempuan,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh I,Aceh,Female
4,M. ALI YAKOB,N,Laki-Laki,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh I,Aceh,Male
5,"T. ISKANDAR DAOD, SE, M.Si.Ak.",N,Laki-Laki,ACEH BARAT,Partai Demokrat,Demokrat,Aceh I,Aceh,Male
6,"IDARYANI, SE.M.Si",N,Perempuan,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh I,Aceh,Female
7,"RAHMIATI, SE.Ak",N,Perempuan,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh I,Aceh,Female
1,"MUSLIM, SHI.MM",Y,Laki-Laki,JAKARTA SELATAN,Partai Demokrat,Demokrat,Aceh II,Aceh,Male
2,MIRNAWATI,N,Perempuan,KOTA LANGSA,Partai Demokrat,Demokrat,Aceh II,Aceh,Female
3,"HAMDAN SATI, ST",N,Laki-Laki,ACEH TAMIANG,Partai Demokrat,Demokrat,Aceh II,Aceh,Male
4,JAMALUDDIN T MUKU,N,Laki-Laki,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh II,Aceh,Male
5,KAUTSAR MUHAMMAD YUS,N,Laki-Laki,KOTA BANDA ACEH,Partai Demokrat,Demokrat,Aceh II,Aceh,Male
6,PINUS YANI,N,Perempuan,ACEH BESAR,Partai Demokrat,Demokrat,Aceh II,Aceh,Female
1,"H.ABDUL WAHAB DALIMUNTHE, SH",Y,Laki-Laki,KOTA MEDAN,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
2,"Drs. HERRI ZULKARNAIN, SH, M.Si",N,Laki-Laki,KOTA MEDAN,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
3,"SUSILAWATI, SE, MM, MA, M.Si (HAN)",N,Perempuan,JAKARTA UTARA,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Female
4,Ir. M.SUBUR SEMBIRING,N,Laki-Laki,JAKARTA PUSAT,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
5,Mayjen TNI Purn. MUHAMMAD NIZAM,N,Laki-Laki,KOTA BANDUNG,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
6,INGRID DIANA SETIAWATY,N,Perempuan,JAKARTA SELATAN,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Female
7,ARIF RAHMANSYAH MARBUN,N,Laki-Laki,DELI SERDANG,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
8,"HENDRIK H SITOMPUL, Drs. MM",N,Laki-Laki,KOTA MEDAN,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
9,MERDINA INDRIATI,N,Perempuan,BOGOR,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Female
10,Drs. H. AMIRUDDIN,N,Laki-Laki,KOTA MEDAN,Partai Demokrat,Demokrat,Sumatera Utara I,Sumatera Utara,Male
1,"Drh. JHONNI ALLEN MARBUN, MM",N,Laki-Laki,KOTA BOGOR,Partai Demokrat,Demokrat,Sumatera Utara II,Sumatera Utara,Male
2,H. MUHAMMAD HARIS,N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Demokrat,Demokrat,Sumatera Utara II,Sumatera Utara,Male
3,"NURHASANAH, S.Sos., M.I.Kom",N,Perempuan,KOTA MEDAN,Partai Demokrat,Demokrat,Sumatera Utara II,Sumatera Utara,Female
4,"Ir. ONGKU P. HASIBUAN, MM",N,Laki-Laki,KOTA BEKASI,Partai Demokrat,Demokrat,Sumatera Utara II,Sumatera Utara,Male
