NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,FACHRUDDIN N,N,Laki-Laki,KOTA DEPOK,Partai Garuda,Partai Garuda,Aceh I,Aceh,Male
2,DJUNAIDI,N,Laki-Laki,KOTA SUBULUSSALAM,Partai Garuda,Partai Garuda,Aceh I,Aceh,Male
3,FITRI MULIANI,N,Perempuan,KOTA LANGSA,Partai Garuda,Partai Garuda,Aceh I,Aceh,Female
1,"AGUSTIAWAN NUR, SE",N,Laki-Laki,KOTA LHOKSEUMAWE,Partai Garuda,Partai Garuda,Aceh II,Aceh,Male
2,TGK. MUNTAHA,N,Laki-Laki,ACEH UTARA,Partai Garuda,Partai Garuda,Aceh II,Aceh,Male
3,"WARDANI MARLINA, SE",N,Perempuan,BOGOR,Partai Garuda,Partai Garuda,Aceh II,Aceh,Female
1,"FAISAL, S.Kom",N,Laki-Laki,JAKARTA TIMUR,Partai Garuda,Partai Garuda,Sumatera Utara I,Sumatera Utara,Male
2,Ir. HUSNI HUSIN,N,Laki-Laki,KOTA MEDAN,Partai Garuda,Partai Garuda,Sumatera Utara I,Sumatera Utara,Male
3,"ELEKTA SIANIPAR, S.Kom",N,Perempuan,KOTA TANGERANG,Partai Garuda,Partai Garuda,Sumatera Utara I,Sumatera Utara,Female
1,"MUDASIR, A.Md.kep",N,Laki-Laki,MURUNG RAYA,Partai Garuda,Partai Garuda,Sumatera Utara II,Sumatera Utara,Male
2,"SILVIA RISNAWATI SIREGAR, A.Md",N,Perempuan,JAKARTA TIMUR,Partai Garuda,Partai Garuda,Sumatera Utara II,Sumatera Utara,Female
1,"RISA SUSANTI SIREGAR, SE",N,Perempuan,JAKARTA TIMUR,Partai Garuda,Partai Garuda,Sumatera Utara III,Sumatera Utara,Female
2,WIXEN NANDO,N,Laki-Laki,MURUNG RAYA,Partai Garuda,Partai Garuda,Sumatera Utara III,Sumatera Utara,Male
1,"DEVI ERAWATI, SE",N,Perempuan,KOTA SURABAYA,Partai Garuda,Partai Garuda,Sumatera Barat I,Sumatera Barat,Female
2,YUDI YULIS SATRIA,N,Laki-Laki,PESISIR SELATAN,Partai Garuda,Partai Garuda,Sumatera Barat I,Sumatera Barat,Male
3,ANALIS NURDIN,N,Laki-Laki,KOTA PADANG,Partai Garuda,Partai Garuda,Sumatera Barat I,Sumatera Barat,Male
4,ERIC NITARDY SITUMEANG,N,Laki-Laki,JAKARTA SELATAN,Partai Garuda,Partai Garuda,Sumatera Barat I,Sumatera Barat,Male
5,MUSVIRAH,N,Perempuan,PADANG PARIAMAN,Partai Garuda,Partai Garuda,Sumatera Barat I,Sumatera Barat,Female
1,"SYAHRIL HAMID, A.Md",N,Laki-Laki,KOTA PADANG,Partai Garuda,Partai Garuda,Sumatera Barat II,Sumatera Barat,Male
2,MUTIA FERA,N,Perempuan,KOTA BUKITTINGGI,Partai Garuda,Partai Garuda,Sumatera Barat II,Sumatera Barat,Female
3,FITRI YENI,N,Perempuan,AGAM,Partai Garuda,Partai Garuda,Sumatera Barat II,Sumatera Barat,Female
1,"AHMAD JONY MARZAINUR, S.H",N,Laki-Laki,KOTA DUMAI,Partai Garuda,Partai Garuda,Riau I,Riau,Male
2,DELLA MAHARANI,N,Perempuan,KOTA PEKANBARU,Partai Garuda,Partai Garuda,Riau I,Riau,Female
1,SAIFUL LANI,N,Laki-Laki,INDRAGIRI HILIR,Partai Garuda,Partai Garuda,Riau II,Riau,Male
2,RAFIDAH,N,Perempuan,INDRAGIRI HILIR,Partai Garuda,Partai Garuda,Riau II,Riau,Female
3,RUSLAN,N,Laki-Laki,INDRAGIRI HULU,Partai Garuda,Partai Garuda,Riau II,Riau,Male
1,"BAYU BUDIARTO, S.Sos",N,Laki-Laki,BUNGO,Partai Garuda,Partai Garuda,Jambi,Jambi,Male
2,"SITI KHAIRAH HARAHAP, Am.Keb",N,Perempuan,JAKARTA TIMUR,Partai Garuda,Partai Garuda,Jambi,Jambi,Female
1,ERI EFFENDI,N,Laki-Laki,KOTA PALEMBANG,Partai Garuda,Partai Garuda,Sumatera Selatan I,Sumatera Selatan,Male
2,"RIKA OKTAVIANI, S.E",N,Perempuan,KOTA PALEMBANG,Partai Garuda,Partai Garuda,Sumatera Selatan I,Sumatera Selatan,Female
3,"MARLYANA, SE., M.Si.",N,Perempuan,KOTA PALEMBANG,Partai Garuda,Partai Garuda,Sumatera Selatan I,Sumatera Selatan,Female
4,"CITRA KEMALASARI, S.E",N,Perempuan,KOTA LUBUKLINGGAU,Partai Garuda,Partai Garuda,Sumatera Selatan I,Sumatera Selatan,Female
1,"YOHANNA MURTIKA, S.H",N,Perempuan,JAKARTA TIMUR,Partai Garuda,Partai Garuda,Sumatera Selatan II,Sumatera Selatan,Female
2,"Drs. APRIL HASAN, S.H. M.M",N,Laki-Laki,KOTA PALEMBANG,Partai Garuda,Partai Garuda,Sumatera Selatan II,Sumatera Selatan,Male
3,RENI YULYIANTI,N,Perempuan,KOTA TANGERANG,Partai Garuda,Partai Garuda,Sumatera Selatan II,Sumatera Selatan,Female
4,VIRDA ANISTIA RISKY,N,Perempuan,JAKARTA BARAT,Partai Garuda,Partai Garuda,Sumatera Selatan II,Sumatera Selatan,Female
