NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"FADHLULLAH, SE",Y,Laki-Laki,PIDIE,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Male
2,"Dr. ASFIFUDDIN, SH, MH",N,Laki-Laki,JAKARTA BARAT,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Male
3,Dra. HJ. ZULHAFAH,N,Perempuan,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Female
4,"ABDULLAH SALEH, SH",N,Laki-Laki,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Male
5,AINAL MARDHIAH,N,Perempuan,ACEH BESAR,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Female
6,"Drs. H. SAYUTHI IS, MM",N,Laki-Laki,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Male
7,CUT MEUTIA ADRINA,N,Perempuan,JAKARTA PUSAT,Partai Gerakan Indonesia Raya,Gerindra,Aceh I,Aceh,Female
1,"Ir. H. T. A. KHALID, M.M",N,Laki-Laki,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh II,Aceh,Male
2,CUT PUTEH,N,Perempuan,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh II,Aceh,Female
3,"T. ZAINAL ABIDIN, S.Pd.I",N,Laki-Laki,KOTA LANGSA,Partai Gerakan Indonesia Raya,Gerindra,Aceh II,Aceh,Male
4,"FERRY MUNANDAR, ST",N,Laki-Laki,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh II,Aceh,Male
5,"Ir. H. NASARUDDIN, MM",N,Laki-Laki,ACEH TENGAH,Partai Gerakan Indonesia Raya,Gerindra,Aceh II,Aceh,Male
6,"SITI NURMASYITHAH, S.Sos",N,Perempuan,KOTA BANDA ACEH,Partai Gerakan Indonesia Raya,Gerindra,Aceh II,Aceh,Female
1,"ROMO H.R. MUHAMMAD SYAFII, SH, .M.Hum.",Y,Laki-Laki,JAKARTA SELATAN,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Male
2,"SITI JAMALIAH, SH",N,Perempuan,JAKARTA SELATAN,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Female
3,EDI KUSUMA,N,Laki-Laki,JAKARTA UTARA,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Male
4,"ISKANDAR H. P. SITORUS, SH",N,Laki-Laki,JAKARTA TIMUR,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Male
5,"M. HUSNI, SE",N,Laki-Laki,KOTA MEDAN,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Male
6,"Hj. FATMAWATY, SH",N,Perempuan,DELI SERDANG,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Female
7,"Ir. MUHAMMAD AZHARI, SH",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Gerakan Indonesia Raya,Gerindra,Sumatera Utara I,Sumatera Utara,Male
