NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,ANDI HS,N,Laki-Laki,JAKARTA TIMUR,Partai Golongan Karya,Golkar,Aceh I,Aceh,Male
2,"M. SALIM FAKHRY, M.M.",Y,Laki-Laki,ACEH TENGGARA,Partai Golongan Karya,Golkar,Aceh I,Aceh,Male
3,CUT SRI MAINITA,N,Perempuan,KOTA BANDA ACEH,Partai Golongan Karya,Golkar,Aceh I,Aceh,Female
4,"Drs. H. SULAIMAN ABDA, M.Si",N,Laki-Laki,KOTA BANDA ACEH,Partai Golongan Karya,Golkar,Aceh I,Aceh,Male
5,Drs. H.T. ZULKARNAINI,N,Laki-Laki,NAGAN RAYA,Partai Golongan Karya,Golkar,Aceh I,Aceh,Male
6,"NENI RUMIANTI DAULAY, S.E.",N,Perempuan,KOTA BANDA ACEH,Partai Golongan Karya,Golkar,Aceh I,Aceh,Female
7,"CUT NURMALAHAYATI U, S.E.",N,Perempuan,KOTA BANDA ACEH,Partai Golongan Karya,Golkar,Aceh I,Aceh,Female
1,ILHAM PANGESTU,N,Laki-Laki,KOTA LANGSA,Partai Golongan Karya,Golkar,Aceh II,Aceh,Male
2,DRS. H. MARZUKI DAUD,N,Laki-Laki,JAKARTA TIMUR,Partai Golongan Karya,Golkar,Aceh II,Aceh,Male
3,"CUT RIZKA SEPTIANI, M.Si",N,Perempuan,JAKARTA SELATAN,Partai Golongan Karya,Golkar,Aceh II,Aceh,Female
4,"FIRMANDEZ, S.E., Ak.",Y,Laki-Laki,JAKARTA SELATAN,Partai Golongan Karya,Golkar,Aceh II,Aceh,Male
5,"REDUK NILAWARNI, S.Pd",N,Perempuan,JAKARTA TIMUR,Partai Golongan Karya,Golkar,Aceh II,Aceh,Female
6,T. YUSNI,N,Laki-Laki,ACEH TAMIANG,Partai Golongan Karya,Golkar,Aceh II,Aceh,Male
1,MEUTYA HAFID,Y,Perempuan,JAKARTA TIMUR,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Female
2,ROLEL HARAHAP,N,Laki-Laki,KOTA TANJUNG BALAI,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Male
3,"LAWRENCE T.P. SIBURIAN, S.H., M.H.",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Male
4,"ROBI ANUGRAH MARPAUNG, S.H., M.H.",N,Laki-Laki,JAKARTA SELATAN,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Male
5,"H. ADLIN UMAR YUSRI TAMBUNAN, S.T., M.S.P.",N,Laki-Laki,KOTA MEDAN,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Male
6,"Ir. NETTY FARIDA SILALAHI, M.M.",N,Perempuan,KOTA TANGERANG SELATAN,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Female
7,"CAMELLIA PANDUWINATA LUBIS, S.E., M.I.Kom",N,Perempuan,JAKARTA BARAT,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Female
8,"RUDDIN AKBAR LUBIS, S.H., M.H.",N,Laki-Laki,JAKARTA PUSAT,Partai Golongan Karya,Golkar,Sumatera Utara I,Sumatera Utara,Male
