NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"IBNU RUSDI, S.E",N,Laki-Laki,KOTA BANDA ACEH,Partai Hati Nurani Rakyat,Hanura,Aceh I,Aceh,Male
2,ROHAYA,N,Perempuan,ACEH BESAR,Partai Hati Nurani Rakyat,Hanura,Aceh I,Aceh,Female
3,ZULKARNAINI,N,Laki-Laki,KOTA BANDA ACEH,Partai Hati Nurani Rakyat,Hanura,Aceh I,Aceh,Male
4,ROSNANI DJAKFAR,N,Perempuan,KOTA BANDA ACEH,Partai Hati Nurani Rakyat,Hanura,Aceh I,Aceh,Female
5,AGUSNIN ARIF,N,Laki-Laki,ACEH BESAR,Partai Hati Nurani Rakyat,Hanura,Aceh I,Aceh,Male
6,AZIZAH,N,Perempuan,ACEH BESAR,Partai Hati Nurani Rakyat,Hanura,Aceh I,Aceh,Female
1,MIRWAN AMIR,N,Laki-Laki,JAKARTA SELATAN,Partai Hati Nurani Rakyat,Hanura,Aceh II,Aceh,Male
2,SARA NAIDU,N,Perempuan,JAKARTA SELATAN,Partai Hati Nurani Rakyat,Hanura,Aceh II,Aceh,Female
3,TATA MOEDA TAQWA,N,Laki-Laki,KOTA LANGSA,Partai Hati Nurani Rakyat,Hanura,Aceh II,Aceh,Male
4,ALAMSYAH,N,Laki-Laki,ACEH TENGAH,Partai Hati Nurani Rakyat,Hanura,Aceh II,Aceh,Male
5,MAULIZA WULANDARI,N,Perempuan,KOTA LHOKSEUMAWE,Partai Hati Nurani Rakyat,Hanura,Aceh II,Aceh,Female
6,SANDY PANGESTU,N,Laki-Laki,BENER MERIAH,Partai Hati Nurani Rakyat,Hanura,Aceh II,Aceh,Male
1,KODRAT SHAH,N,Laki-Laki,KOTA MEDAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Male
2,"Drs. POTSDAM HUTASOIT, M.Si",N,Laki-Laki,JAKARTA SELATAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Male
3,NILAM SURI,N,Perempuan,KOTA TANGERANG SELATAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Female
4,"AWALUDIN, SE, MSI.",N,Laki-Laki,KOTA MEDAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Male
5,SRI RAHAYU,N,Perempuan,KOTA BEKASI,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Female
6,DRA. SITI NURRACHMI,N,Perempuan,JAKARTA TIMUR,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Female
7,"ISMAINI, SE",N,Perempuan,KOTA MEDAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Female
8,ARI KUSUMADI SUSILA,N,Laki-Laki,KOTA TANGERANG,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Male
9,SAKINAH,N,Perempuan,JAKARTA TIMUR,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Female
10,"D. SURES KUMAR, S.Ag., MSi",N,Laki-Laki,JAKARTA SELATAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara I,Sumatera Utara,Male
1,H. HERRY LONTUNG SIREGAR,N,Laki-Laki,KOTA MEDAN,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Male
2,"EDISON MANURUNG, SH, MM",N,Laki-Laki,KOTA BEKASI,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Male
3,SURYANTI,N,Perempuan,JAKARTA PUSAT,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Female
4,H. MULKAN NASUTION,N,Laki-Laki,JAKARTA UTARA,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Male
5,JANERIVO HOT MARIO J.S,N,Laki-Laki,KOTA SAWAHLUNTO,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Male
6,MAISAROH,N,Perempuan,JAKARTA PUSAT,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Female
7,NURHASANAH,N,Perempuan,KOTA DEPOK,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Female
8,YANTI PURNAMASARI,N,Perempuan,JAKARTA PUSAT,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Female
9,NUR YENI INFA,N,Perempuan,JAKARTA TIMUR,Partai Hati Nurani Rakyat,Hanura,Sumatera Utara II,Sumatera Utara,Female
