NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"H ZAINI DJALIL, SH",N,Laki-Laki,KOTA BANDA ACEH,Partai NasDem,NasDem,Aceh I,Aceh,Male
2,"TGK. ANWAR, S.PD., MM",N,Laki-Laki,PIDIE,Partai NasDem,NasDem,Aceh I,Aceh,Male
3,"Hj. DRA. MEDIATI HAFNI HANUM, SH,. Mkn",N,Perempuan,KOTA BANDA ACEH,Partai NasDem,NasDem,Aceh I,Aceh,Female
4,"DESI FITRIANI, S.Sos",N,Perempuan,KOTA DEPOK,Partai NasDem,NasDem,Aceh I,Aceh,Female
5,IRSAN SOSIAWAN,N,Laki-Laki,JAKARTA PUSAT,Partai NasDem,NasDem,Aceh I,Aceh,Male
6,"IR. JUFRI HASANUDDIN, MM",N,Laki-Laki,ACEH BARAT DAYA,Partai NasDem,NasDem,Aceh I,Aceh,Male
7,"Dra. NURHUSNA RAZALI, M.Pd",N,Perempuan,ACEH BESAR,Partai NasDem,NasDem,Aceh I,Aceh,Female
1,ZULFAN LINDAN,Y,Laki-Laki,JAKARTA SELATAN,Partai NasDem,NasDem,Aceh II,Aceh,Male
2,MUHARUDDIN,N,Laki-Laki,KOTA BANDA ACEH,Partai NasDem,NasDem,Aceh II,Aceh,Male
3,FATIMAH ZUHRA,N,Perempuan,ACEH TAMIANG,Partai NasDem,NasDem,Aceh II,Aceh,Female
4,EFENDI,N,Laki-Laki,BIREUEN,Partai NasDem,NasDem,Aceh II,Aceh,Male
5,"DR. IBRAHIM HASYIM SE, MM",N,Laki-Laki,JAKARTA BARAT,Partai NasDem,NasDem,Aceh II,Aceh,Male
6,RIMA MELATI,N,Perempuan,PIDIE,Partai NasDem,NasDem,Aceh II,Aceh,Female
1,PRANANDA SURYA PALOH,Y,Laki-Laki,JAKARTA SELATAN,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
2,"DR. IR. H. TENGKU ERRY NURADI, M.SI",N,Laki-Laki,KOTA MEDAN,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
3,"LATIFAH HANUM SOFYAN, SE",N,Perempuan,JAKARTA BARAT,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Female
4,"EDWIN P. SITUMORANG, SH., MH",N,Laki-Laki,KOTA DEPOK,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
5,PERHIASEN TRIWATY BR GINTING,N,Perempuan,KARO,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Female
6,FEDRIANSYAH LUBIS,N,Laki-Laki,KOTA MEDAN,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
7,Ir. AGUS PETRUS SIMORANGKIR,N,Laki-Laki,KOTA TANGERANG SELATAN,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
8,"AMIN, SH, MH",N,Laki-Laki,JAKARTA UTARA,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
9,TITI LESTARI ZEBUA,N,Perempuan,KOTA GUNUNGSITOLI,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Female
10,DRS. V.E. SIMANJUNTAK,N,Laki-Laki,JAKARTA SELATAN,Partai NasDem,NasDem,Sumatera Utara I,Sumatera Utara,Male
