NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"H. MUSLIM AYUB, S.H., M.M.",Y,Laki-Laki,KOTA BANDA ACEH,Partai Amanat Nasional,PAN,Aceh I,Aceh,Male
2,"MOHD ALFATAH, S.Ag",N,Laki-Laki,NAGAN RAYA,Partai Amanat Nasional,PAN,Aceh I,Aceh,Male
3,"ZAKIYAH DRAZAT, S. Tr. Keb",N,Perempuan,ACEH BESAR,Partai Amanat Nasional,PAN,Aceh I,Aceh,Female
4,H. NAZARUDDIN DEK GAM,N,Laki-Laki,KOTA BANDA ACEH,Partai Amanat Nasional,PAN,Aceh I,Aceh,Male
5,"LELI HERAWATI, A.Md",N,Perempuan,JAKARTA SELATAN,Partai Amanat Nasional,PAN,Aceh I,Aceh,Female
6,"MARGONINGSIH, SE",N,Perempuan,JAKARTA UTARA,Partai Amanat Nasional,PAN,Aceh I,Aceh,Female
7,SULAIMAN ALI,N,Laki-Laki,KOTA BANDA ACEH,Partai Amanat Nasional,PAN,Aceh I,Aceh,Male
1,TEUKU HASBULLAH. HD,N,Laki-Laki,KOTA BANDA ACEH,Partai Amanat Nasional,PAN,Aceh II,Aceh,Male
2,"Dr. AHMAD FARHAN HAMID, MS",N,Laki-Laki,KOTA BANDA ACEH,Partai Amanat Nasional,PAN,Aceh II,Aceh,Male
3,ANJAR AULIA,N,Perempuan,KOTA LHOKSEUMAWE,Partai Amanat Nasional,PAN,Aceh II,Aceh,Female
4,"ERMIADI ABDUL RAHMAN, ST",N,Laki-Laki,ACEH BESAR,Partai Amanat Nasional,PAN,Aceh II,Aceh,Male
5,"ROSNAWATI, S.Pd.I",N,Perempuan,BIREUEN,Partai Amanat Nasional,PAN,Aceh II,Aceh,Female
6,"H. BASRUN YUSUF, SH",N,Laki-Laki,ACEH BESAR,Partai Amanat Nasional,PAN,Aceh II,Aceh,Male
1,"MULFACHRI HARAHAP, SH., MH",Y,Laki-Laki,JAKARTA TIMUR,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Male
2,IBRAHIM SAKTI BATUBARA,N,Laki-Laki,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Male
3,"MISLAINI SUCI RAHAYU, MM., MSC., IR",N,Perempuan,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Female
4,"INDRA BUANA TANJUNG, SH",N,Laki-Laki,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Male
5,"AHMAD ASWAN WARUWU, SE., M.S.M",N,Laki-Laki,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Male
6,NAHDATUR RAHMAH,N,Perempuan,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Female
7,DRS. ERISAL ZUHERDIS,N,Laki-Laki,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Male
8,OKY IRAWAN,N,Laki-Laki,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Male
9,"MEILY WARDHANI, DRA",N,Perempuan,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Female
10,"LENI INDRIA SARI, SH",N,Perempuan,KOTA BOGOR,Partai Amanat Nasional,PAN,Sumatera Utara I,Sumatera Utara,Female
1,"Dr. SALEH PARTAONAN DAULAY, M.Ag., M.Hum, MA.",Y,Laki-Laki,KOTA TANGERANG SELATAN,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
2,"Ir. BARNABAS YUSUF HURA, MM.",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
3,"HALIMATUR RUHIYAH, S.E.I",N,Perempuan,KOTA TANGERANG SELATAN,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Female
4,"AHMAD KHADAFI WIBOWO LUBIS, MS",N,Laki-Laki,JAKARTA TIMUR,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
5,"MACHATIR MUHAMMAD DONGORAN, MA",N,Laki-Laki,PADANG LAWAS UTARA,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
6,"ANNISA ZAKIAH PASARIBU, S.Sos",N,Perempuan,PADANG LAWAS UTARA,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Female
7,"PUJIANTO, SH",N,Laki-Laki,LABUHANBATU UTARA,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
8,"SRI KASIANI HUTABARAT, S.Pd. AUD",N,Perempuan,LABUHANBATU UTARA,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Female
9,ILHAM SURYA EDI LAHAGU,N,Laki-Laki,DELI SERDANG,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
10,"KHAIRUL SAKTI LUBIS, S.Pd",N,Laki-Laki,DELI SERDANG,Partai Amanat Nasional,PAN,Sumatera Utara II,Sumatera Utara,Male
1,"NASRIL BAHAR, SE",Y,Laki-Laki,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Male
2,"Hj. MAYSARAH, S.Sos., MM",N,Perempuan,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Female
3,"MUHAMMAD JUSUF SIRAIT, SE.",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Male
4,HAPOSAN HARIANTO TOBING,N,Laki-Laki,JAKARTA TIMUR,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Male
5,"ERLINA, DRA",N,Perempuan,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Female
6,CHAIRUL PURBA,N,Laki-Laki,KOTA PEMATANGSIANTAR,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Male
7,"ANITA BR SEMBIRING, SE., MM",N,Perempuan,KOTA MEDAN,Partai Amanat Nasional,PAN,Sumatera Utara III,Sumatera Utara,Female
