NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,Dr. (H.C.) Tgk. MUHAMMAD YUS,N,Laki-Laki,KOTA BANDA ACEH,Partai Bulan Bintang,PBB,Aceh I,Aceh,Male
2,SUMARDI,N,Laki-Laki,BEKASI,Partai Bulan Bintang,PBB,Aceh I,Aceh,Male
3,"SALAWATI DAHLAN MS, SE",N,Perempuan,KOTA BANDA ACEH,Partai Bulan Bintang,PBB,Aceh I,Aceh,Female
4,DRS. H.MISWAR SULAIMAN,N,Laki-Laki,ACEH BESAR,Partai Bulan Bintang,PBB,Aceh I,Aceh,Male
5,"Drs.. H.SJECH AHMADIN, MM",N,Laki-Laki,ACEH TENGGARA,Partai Bulan Bintang,PBB,Aceh I,Aceh,Male
6,"MARDIANA, S.Sos.I",N,Perempuan,KOTA BANDA ACEH,Partai Bulan Bintang,PBB,Aceh I,Aceh,Female
7,DHAHRATUL AINI,N,Perempuan,PIDIE,Partai Bulan Bintang,PBB,Aceh I,Aceh,Female
1,"AZHARI CAGE, S.IP",N,Laki-Laki,ACEH UTARA,Partai Bulan Bintang,PBB,Aceh II,Aceh,Male
2,"MAWARDI ABDULLAH, M.M.",N,Laki-Laki,JAKARTA SELATAN,Partai Bulan Bintang,PBB,Aceh II,Aceh,Male
3,"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",N,Perempuan,KOTA LHOKSEUMAWE,Partai Bulan Bintang,PBB,Aceh II,Aceh,Female
4,"H. A. RIDWAN M DALLAH, SE",N,Laki-Laki,KOTA BANDA ACEH,Partai Bulan Bintang,PBB,Aceh II,Aceh,Male
5,"ISWADI, M.Pd",N,Laki-Laki,KOTA BANDA ACEH,Partai Bulan Bintang,PBB,Aceh II,Aceh,Male
6,"PIPIH SOPIAH, SE",N,Perempuan,JAKARTA SELATAN,Partai Bulan Bintang,PBB,Aceh II,Aceh,Female
1,"Drs. ALI AMRAN TANJUNG, SH, M.Hum",N,Laki-Laki,KOTA MEDAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Male
2,Dra.. HJ. NOORBALQIS DRA,N,Perempuan,KOTA MEDAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Female
3,DR. MASRI SITANGGANG,N,Laki-Laki,DELI SERDANG,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Male
4,"M SAIFULLAH, ST",N,Laki-Laki,JAKARTA SELATAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Male
5,"SA'DIAH, S.IP, M.Pd",N,Perempuan,JAKARTA SELATAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Female
6,"TAUFIK QURRAHMAN, SE.",N,Laki-Laki,KOTA MEDAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Male
7,"EPI ASRIANI, S.H.",N,Perempuan,KOTA MEDAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Female
8,Ir. RUDY ABDUL RAHMAN,N,Laki-Laki,JAKARTA SELATAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Male
9,Hj. NURHEFTI DEWITA,N,Perempuan,JAKARTA TIMUR,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Female
10,"MUHAMMAD YAHYA NASUTION, S.E.",N,Laki-Laki,KOTA MEDAN,Partai Bulan Bintang,PBB,Sumatera Utara I,Sumatera Utara,Male
1,Dr. Ir. MAHRIZAL MASRI,N,Laki-Laki,KOTA MEDAN,Partai Bulan Bintang,PBB,Sumatera Utara II,Sumatera Utara,Male
2,IR. DORIANGAT PAKPAHAN,N,Perempuan,BOGOR,Partai Bulan Bintang,PBB,Sumatera Utara II,Sumatera Utara,Female
3,"SABAR SITANGGANG, M.Si",N,Laki-Laki,JAKARTA TIMUR,Partai Bulan Bintang,PBB,Sumatera Utara II,Sumatera Utara,Male
4,Drs. AMARULLAH NASUTION,N,Laki-Laki,JAKARTA TIMUR,Partai Bulan Bintang,PBB,Sumatera Utara II,Sumatera Utara,Male
5,"PEPTI ARNILA SARI, S.Psi",N,Perempuan,DELI SERDANG,Partai Bulan Bintang,PBB,Sumatera Utara II,Sumatera Utara,Female
