NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,H. KARIMUN USMAN,N,Laki-Laki,JAKARTA BARAT,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Male
2,RAMOND DONY ADAM,N,Laki-Laki,JAKARTA SELATAN,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Male
3,DWI LUHNUARI JUMWATI,N,Perempuan,KOTA BANDA ACEH,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Female
4,"MUSLAHUDDIN DAUD, S.Ag",N,Laki-Laki,KOTA BANDA ACEH,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Male
5,"TITI WIDYAWATI, S.P.",N,Perempuan,KOTA PALANGKARAYA,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Female
6,NASRAN AB,N,Laki-Laki,ACEH SINGKIL,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Male
7,LIRA AMALIA,N,Perempuan,KOTA BANDA ACEH,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh I,Aceh,Female
1,Ir. H. TAGORE ABU BAKAR,Y,Laki-Laki,BENER MERIAH,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh II,Aceh,Male
2,"HJ. MARIA KARSIA, S.S.",N,Perempuan,JAKARTA PUSAT,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh II,Aceh,Female
3,"GUNTARAYADI, S.P.",N,Laki-Laki,BENER MERIAH,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh II,Aceh,Male
4,HUSAINI MH,N,Laki-Laki,KOTA LHOKSEUMAWE,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh II,Aceh,Male
5,MUHAMMAD SUFI,N,Laki-Laki,KOTA LANGSA,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh II,Aceh,Male
6,"LISNAWATI GINTING, S.H., M.H.",N,Perempuan,KOTA MEDAN,Partai Demokrasi Indonesia Perjuangan,PDIP,Aceh II,Aceh,Female
1,"YASONNA H. LAOLY, Ph.D",N,Laki-Laki,KOTA MEDAN,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Male
2,Dr. SOFYAN TAN,Y,Laki-Laki,KOTA MEDAN,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Male
3,"ENDAH SRICAHYANI SUCIPTO, S.Pt., M.Si.",N,Perempuan,JAKARTA TIMUR,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Female
4,H. IRMADI LUBIS,Y,Laki-Laki,JAKARTA SELATAN,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Male
5,"RAHMAT HIDAYAT, S.E.",N,Laki-Laki,KOTA MEDAN,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Male
6,"LIDYA OCTAVIANA SIANIPAR, S.H.",N,Perempuan,KOTA DEPOK,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Female
7,Ir. JANVIAR PAULUS SARAGIH,N,Laki-Laki,JAKARTA TIMUR,Partai Demokrasi Indonesia Perjuangan,PDIP,Sumatera Utara I,Sumatera Utara,Male
