NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"HAMDANI HAMID, S.P",N,Laki-Laki,KOTA BANDA ACEH,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Male
2,"ZULKARNAIN, S.E., M.M",N,Laki-Laki,JAKARTA BARAT,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Male
3,"SELFIA NINGSIH, S.Pd",N,Perempuan,ACEH TENGGARA,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Female
4,"EFFRI DANDA, S.E",N,Laki-Laki,KOTA BANDA ACEH,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Male
5,"MONICA OVIANANDA, A.MD.",N,Perempuan,KOTA BANDA ACEH,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Female
6,SAMSIR ALI,N,Laki-Laki,GAYO LUES,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Male
7,CITRA LEVIONITA ANDREAN,N,Perempuan,KOTA TANGERANG SELATAN,Partai Persatuan Indonesia,Perindo,Aceh I,Aceh,Female
1,GIVIANNA ELY,N,Perempuan,ACEH BESAR,Partai Persatuan Indonesia,Perindo,Aceh II,Aceh,Female
2,HERMAN KOSASIH,N,Laki-Laki,KOTA BANDA ACEH,Partai Persatuan Indonesia,Perindo,Aceh II,Aceh,Male
3,"HERMAN BAHARI, S.H",N,Laki-Laki,ACEH TAMIANG,Partai Persatuan Indonesia,Perindo,Aceh II,Aceh,Male
4,"RAZALI ZAINUDDIN, A.Md.",N,Laki-Laki,ACEH UTARA,Partai Persatuan Indonesia,Perindo,Aceh II,Aceh,Male
5,NURHAYATI,N,Perempuan,BIREUEN,Partai Persatuan Indonesia,Perindo,Aceh II,Aceh,Female
6,SIWI ASRI MOPRIRATNA,N,Perempuan,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Aceh II,Aceh,Female
1,Ir. RUDI ZULHAM HASIBUAN,N,Laki-Laki,KOTA MEDAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
2,AMINULLAH SIAGIAN,N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
3,DONNA PAULA,N,Perempuan,JAKARTA SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Female
4,TOHA SAUT SITUMEANG,N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
5,DODY YUSUF WIBISONO,N,Laki-Laki,KOTA MEDAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
6,MARIANA SIALLAGAN,N,Perempuan,JAKARTA PUSAT,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Female
7,"Drs. PARLINDUNGAN, SE, .MM",N,Laki-Laki,KOTA BEKASI,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
8,"THE JENNY, S.E.",N,Perempuan,JAKARTA BARAT,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Female
9,"SYAHRIANTO, SH",N,Laki-Laki,SERDANG BEDAGAI,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
10,BOY BAKAMARO GINTING MUNTHE,N,Laki-Laki,KOTA BEKASI,Partai Persatuan Indonesia,Perindo,Sumatera Utara I,Sumatera Utara,Male
1,"Drs. ARMYN GULTOM, M.Si",N,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
2,"FRANSEN G. SIAHAAN, SE., MM",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
3,"TUTY ANA, SE",N,Perempuan,JAKARTA BARAT,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Female
4,DR. SYUKRI BATUBARA,N,Laki-Laki,KOTA BEKASI,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
5,"BRIGJEN TNI (PURN) JUNIAS LUMBAN TOBING, M.Sc",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
6,RIESKA MELIA SURYADI,N,Perempuan,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Female
7,"Dr. SUTAN DJOLEN SIRAIT, MM",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
8,"MELISSA FEBRISTIRA NABABAN, S.T., M.T",N,Perempuan,KOTA MEDAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Female
9,"Drs. SABAM SINAGA, M.M",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
10,"Dr. HENDRICK D. TAMBUNAN, M.Th",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara II,Sumatera Utara,Male
1,Ir. ARYA MAHENDRA SINULINGGA,N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Male
2,"FRANKY LIWIJAYA, S.H",N,Laki-Laki,ASAHAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Male
3,"THERESA INAWATY SP, S.H",N,Perempuan,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Female
4,Dr. SORTAMAN SARAGIH,N,Laki-Laki,KOTA DEPOK,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Male
5,"Dr. BRIGJEN TNI (PURN). AHWAN ISMADI, S.Pd., S.H., M.H.",N,Laki-Laki,KOTA MEDAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Male
6,ALFATI NOVA,N,Perempuan,JAKARTA SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Female
7,"NATALIA CHRISTANTO, ST",N,Perempuan,JAKARTA TIMUR,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Female
8,"LIBER SIMBOLON, M.KOM",N,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Male
9,"MUJIYANTA, SH",N,Laki-Laki,JAKARTA PUSAT,Partai Persatuan Indonesia,Perindo,Sumatera Utara III,Sumatera Utara,Male
