NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"H. IRMAWAN, S.Sos, MM",Y,Laki-Laki,KOTA BANDA ACEH,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Male
2,SAYED MUSTAFA USAB AL IDROES,N,Laki-Laki,NAGAN RAYA,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Male
3,MAHDALENA,N,Perempuan,ACEH BESAR,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Female
4,T. NASRUDDIN,N,Laki-Laki,ACEH SELATAN,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Male
5,KHAIRULLAH,N,Laki-Laki,JAKARTA TIMUR,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Male
6,"IDAWATI, S.E",N,Perempuan,ACEH BESAR,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Female
7,"SUHARNI BUSTAMI, S.Pd",N,Perempuan,KOTA BANDA ACEH,Partai Kebangkitan Bangsa,PKB,Aceh I,Aceh,Female
1,"MAHFUZD, SE",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Kebangkitan Bangsa,PKB,Aceh II,Aceh,Male
2,"SAYUTI, SH.MH",N,Laki-Laki,JAKARTA SELATAN,Partai Kebangkitan Bangsa,PKB,Aceh II,Aceh,Male
3,SRI ARIANA NINGSIH,N,Perempuan,KOTA BANDA ACEH,Partai Kebangkitan Bangsa,PKB,Aceh II,Aceh,Female
4,RUSLAN M. DAUD,N,Laki-Laki,BIREUEN,Partai Kebangkitan Bangsa,PKB,Aceh II,Aceh,Male
5,RAHMI ABDI,N,Perempuan,ACEH BESAR,Partai Kebangkitan Bangsa,PKB,Aceh II,Aceh,Female
6,"FAISAL RIDHA, S.Ag., MM",N,Laki-Laki,ACEH BESAR,Partai Kebangkitan Bangsa,PKB,Aceh II,Aceh,Male
1,DITA INDAH SARI,N,Perempuan,JAKARTA SELATAN,Partai Kebangkitan Bangsa,PKB,Sumatera Utara I,Sumatera Utara,Female
2,"SAHRIL TUMANGGOR, S.E., S.H., M.H.",N,Laki-Laki,GRESIK,Partai Kebangkitan Bangsa,PKB,Sumatera Utara I,Sumatera Utara,Male
3,"DR. H. SYAFII SIREGAR, MA",N,Laki-Laki,KOTA MEDAN,Partai Kebangkitan Bangsa,PKB,Sumatera Utara I,Sumatera Utara,Male
