NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"ARIZAN, S.H.",N,Laki-Laki,ACEH SELATAN,Partai Keadilan Dan Persatuan Indonesia,PKPI,Aceh I,Aceh,Male
2,HAMIDIN MUHAMMAD,N,Laki-Laki,KOTA BANDA ACEH,Partai Keadilan Dan Persatuan Indonesia,PKPI,Aceh I,Aceh,Male
3,AFILIA TRI HANJANI,N,Perempuan,KOTA BEKASI,Partai Keadilan Dan Persatuan Indonesia,PKPI,Aceh I,Aceh,Female
4,"PASMAH PUTRA ANDRY AGUNG, M.M.",N,Laki-Laki,KOTA BANDA ACEH,Partai Keadilan Dan Persatuan Indonesia,PKPI,Aceh I,Aceh,Male
5,ERMANITA,N,Perempuan,ACEH BESAR,Partai Keadilan Dan Persatuan Indonesia,PKPI,Aceh I,Aceh,Female
1,USWATUN CHASANAH,N,Perempuan,SUKOHARJO,Partai Keadilan Dan Persatuan Indonesia,PKPI,Aceh II,Aceh,Female
1,"BONARDO SINAGA, S.T.",N,Laki-Laki,KOTA MEDAN,Partai Keadilan Dan Persatuan Indonesia,PKPI,Sumatera Utara I,Sumatera Utara,Male
2,dr. NISHAL,N,Perempuan,JAKARTA UTARA,Partai Keadilan Dan Persatuan Indonesia,PKPI,Sumatera Utara I,Sumatera Utara,Female
3,ARIF NUGRAHA,N,Laki-Laki,JAKARTA SELATAN,Partai Keadilan Dan Persatuan Indonesia,PKPI,Sumatera Utara I,Sumatera Utara,Male
1,ZINDAR KAR MARBUN,N,Laki-Laki,JAKARTA SELATAN,Partai Keadilan Dan Persatuan Indonesia,PKPI,Sumatera Utara II,Sumatera Utara,Male
2,LENTY SIANIPAR,N,Perempuan,JAKARTA SELATAN,Partai Keadilan Dan Persatuan Indonesia,PKPI,Sumatera Utara II,Sumatera Utara,Female
