NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,GHUFRAN,N,Laki-Laki,KOTA BANDA ACEH,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Male
2,RAFLI,N,Laki-Laki,ACEH BESAR,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Male
3,"SRI HANUM, SE",N,Perempuan,ACEH BARAT,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Female
4,H. MUHAMMAD RIZAL,N,Laki-Laki,KOTA BEKASI,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Male
5,"ANGGARDA PARAMITA, S.Pd",N,Perempuan,ACEH TENGGARA,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Female
6,"DEVI ARIANI, S.SOS",N,Perempuan,ACEH BARAT,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Female
7,"M. YUNUS AZHARI, SH",N,Laki-Laki,ACEH BARAT,Partai Keadilan Sejahtera,PKS,Aceh I,Aceh,Male
1,"H. MUHAMMAD NASIR DJAMIL, S. AG., M. Si",Y,Laki-Laki,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Aceh II,Aceh,Male
2,"TGK. H. MUHAMMAD NUR, M. Si",N,Laki-Laki,ACEH UTARA,Partai Keadilan Sejahtera,PKS,Aceh II,Aceh,Male
3,"Dr. SUESILOWATY, SE., M.MPar",N,Perempuan,JAKARTA TIMUR,Partai Keadilan Sejahtera,PKS,Aceh II,Aceh,Female
4,BARMANSYAH,N,Laki-Laki,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Aceh II,Aceh,Male
5,"M. YUSUF ISMAIL PASE, SH, MH",N,Laki-Laki,KOTA LHOKSEUMAWE,Partai Keadilan Sejahtera,PKS,Aceh II,Aceh,Male
6,"SARI DEWI, SE.Ak",N,Perempuan,BIREUEN,Partai Keadilan Sejahtera,PKS,Aceh II,Aceh,Female
1,IR. H. TIFATUL SEMBIRING,Y,Laki-Laki,JAKARTA PUSAT,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Male
2,"SUTIAS HANDAYANI, SE",N,Perempuan,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Female
3,"Drs. H. M. IDRIS LUTFI RAMBE, M.Sc",N,Laki-Laki,JAKARTA TIMUR,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Male
4,"H. HIDAYATULLAH, SE.",N,Laki-Laki,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Male
5,"EVI RISNA YANTI, SH",N,Perempuan,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Female
6,"IRWANSYAH, S.H., M.H.",N,Laki-Laki,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Male
7,"DESSY YUSVIKA YUSDARTONO, S.KOM",N,Perempuan,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Female
8,Ir. H. IZFAN,N,Laki-Laki,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Male
9,"FAQIH HAKIM HASIBUAN, S.Pd., M.Pd",N,Laki-Laki,DELI SERDANG,Partai Keadilan Sejahtera,PKS,Sumatera Utara I,Sumatera Utara,Male
1,H. ISKAN QOLBA LUBIS,Y,Laki-Laki,KOTA BEKASI,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Male
2,"HJ. NURAZIZAH TAMBUNAN, SS",N,Perempuan,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Female
3,"KHOIRUDDIN RAMBE, S.SOS",N,Laki-Laki,KOTA PADANG SIDIMPUAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Male
4,HARNI ETIKA SARI SIREGAR,N,Perempuan,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Female
5,SAPARUDDIN HAJI LUBIS,N,Laki-Laki,MANDAILING NATAL,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Male
6,"HJ. EMRINAWATI HASIBUAN, S.H., M.Pd.",N,Perempuan,PADANG LAWAS,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Female
7,"NAZRAH ELIDA POHAN, SKM",N,Perempuan,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Female
8,"Dr. HJ. FEMINA SAGITA BORUALOGO, MA",N,Perempuan,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Female
9,ROHIM RITONGA,N,Laki-Laki,KOTA PADANG SIDIMPUAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara II,Sumatera Utara,Male
1,H. ANSORY SIREGAR,Y,Laki-Laki,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Male
2,"DR. USMAN JAKFAR, LC., MA",N,Laki-Laki,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Male
3,"SYAHFITRI HANI HARAHAP, SH",N,Perempuan,JAKARTA SELATAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Female
4,"Dr. HJ. SAFRIDA RUMONDANG P. TAMBUNAN, S.E., Ak., MSi",N,Perempuan,KOTA DEPOK,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Female
5,SRI FRA PANTI,N,Perempuan,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Female
6,"H. SANUSI GHAZALI PANE, SE., M.Si",N,Laki-Laki,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Male
7,SITI JULAEHA,N,Perempuan,JAKARTA UTARA,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Female
8,"Dr. (C). ZAINUDDIN NUR, S.H., ME.",N,Laki-Laki,KOTA MEDAN,Partai Keadilan Sejahtera,PKS,Sumatera Utara III,Sumatera Utara,Male
1,"Dr. HERMANTO, S.E., M.M",Y,Laki-Laki,KOTA BOGOR,Partai Keadilan Sejahtera,PKS,Sumatera Barat I,Sumatera Barat,Male
2,"Dr. HANDI RISZA, SE, MEc",N,Laki-Laki,JAKARTA TIMUR,Partai Keadilan Sejahtera,PKS,Sumatera Barat I,Sumatera Barat,Male
3,Dra. DASLINAR,N,Perempuan,KOTA PADANG,Partai Keadilan Sejahtera,PKS,Sumatera Barat I,Sumatera Barat,Female
