NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,AMRI M ALI,N,Laki-Laki,KOTA BANDA ACEH,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Male
2,"T ZULFIKAR THAIB ALY, SH",N,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Male
3,"HJ. ILLIZA SA'ADUDDIN DJAMAL, SE",N,Perempuan,KOTA BANDA ACEH,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Female
4,"ROSNI IDHAM, SE",N,Perempuan,ACEH BARAT,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Female
5,IBNU AQIL,N,Laki-Laki,ACEH BESAR,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Male
6,H. RUSYDI AW,N,Laki-Laki,PIDIE,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Male
7,ONIE SEPTARINA R,N,Perempuan,GAYO LUES,Partai Persatuan Pembangunan,PPP,Aceh I,Aceh,Female
1,"H ANWAR IDRIS, DRS",Y,Laki-Laki,BIREUEN,Partai Persatuan Pembangunan,PPP,Aceh II,Aceh,Male
2,AKMAL HANIF,N,Laki-Laki,ACEH UTARA,Partai Persatuan Pembangunan,PPP,Aceh II,Aceh,Male
3,NURHANITA ZAHARA,N,Perempuan,KOTA BANDA ACEH,Partai Persatuan Pembangunan,PPP,Aceh II,Aceh,Female
4,Ir. SYUKUR KOBATH,N,Laki-Laki,ACEH TENGAH,Partai Persatuan Pembangunan,PPP,Aceh II,Aceh,Male
5,"JAMALUDIN, SE",N,Laki-Laki,ACEH UTARA,Partai Persatuan Pembangunan,PPP,Aceh II,Aceh,Male
6,CUT FATNIAH,N,Perempuan,KOTA LHOKSEUMAWE,Partai Persatuan Pembangunan,PPP,Aceh II,Aceh,Female
1,"Drs. H. HASRUL AZWAR, MM",Y,Laki-Laki,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Male
2,"H.HASAN HUSAERI LUBIS, SH",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Male
3,VANIA ZENAIDHA HILARIO,N,Perempuan,KOTA DEPOK,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Female
4,"M IRWANSYAH PUTRA, SE",N,Laki-Laki,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Male
5,IKA WULANDARI,N,Perempuan,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Female
6,ZULHUJJAIN AL ADYAN RANGKUTI,N,Laki-Laki,TANGERANG,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Male
7,"HJ. ENDANG TRISNAWATI, SE",N,Perempuan,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Female
8,JULI SUSANTI,N,Perempuan,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Female
9,MAHENDRA APRIYANTO,N,Laki-Laki,JAKARTA PUSAT,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Male
10,H. KHAIRUL IMAM,N,Laki-Laki,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara I,Sumatera Utara,Male
1,"ADRIAN AZHARI AKBAR HARAHAP, ST",N,Laki-Laki,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
2,M.RAJAB INDRA HAKIM HASIBUAN,N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
3,"INDAH CAHYANI PUTRI, S.Sos",N,Perempuan,JAKARTA TIMUR,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Female
4,"Drs. H. SYARIFUL MAHYA BANDAR, M. AP",N,Laki-Laki,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
5,"DR. RISMAN PASARIBU, M.M",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
6,RINA HARTATI HASIBUAN,N,Perempuan,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Female
7,"ABUL ASRI SIREGAR, SE, MSC",N,Laki-Laki,KOTA BEKASI,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
8,TYAS SURGA SWASTYANI,N,Perempuan,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Female
9,"AHMAD THAMRIN HARAHAP, SH",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
10,KALI RAJA HARAHAP,N,Laki-Laki,KOTA BANDUNG,Partai Persatuan Pembangunan,PPP,Sumatera Utara II,Sumatera Utara,Male
1,"Ir. ABDUL AZIS, S.Pd, MM, M.AP",N,Laki-Laki,LANGKAT,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
2,"FAHMI ALFANSI PUTRA PANE, S.HUT, MSI(HAN)",N,Laki-Laki,JAKARTA BARAT,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
3,MAYLANINGSIH SUNDARI,N,Perempuan,JAKARTA PUSAT,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Female
4,H. MUZAKHIR RIDA,N,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
5,"HERI INDRA UTAMA, SH",N,Laki-Laki,JAKARTA PUSAT,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
6,EFRIDA RANA FRISTIANTI,N,Perempuan,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Female
7,INDRA SURYANTO IR,N,Laki-Laki,KOTA MEDAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
8,TAMRINUDDIN,N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
9,FITRIANI,N,Perempuan,JAKARTA BARAT,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Female
10,H. USMAN EFFENDI SITORUS S.AG,N,Laki-Laki,SERDANG BEDAGAI,Partai Persatuan Pembangunan,PPP,Sumatera Utara III,Sumatera Utara,Male
1,ERDISON MANSUR,N,Laki-Laki,TANAH DATAR,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Male
2,"DENISRIYATUL HAYATI, S.E.I, M.Si.M",N,Perempuan,SOLOK,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Female
3,NIKKI LAUDA HARYONA,N,Laki-Laki,JAKARTA PUSAT,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Male
4,"Dr.H. SYUKRIADI SYUKUR, M.Pd",N,Laki-Laki,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Male
5,"SYAFRIL ILYAS, S.IP",N,Laki-Laki,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Male
6,"SUSAN HANDREA, SH",N,Perempuan,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Female
7,ZISKA RENI,N,Perempuan,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Female
8,"BACHTUL, ST",N,Laki-Laki,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat I,Sumatera Barat,Male
1,"MUHAMMAD IQBAL, SE, M.Com",Y,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Sumatera Barat II,Sumatera Barat,Male
2,"HARIADI, BE",N,Laki-Laki,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat II,Sumatera Barat,Male
3,"PUSPITA SARI, ST",N,Perempuan,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat II,Sumatera Barat,Female
4,"DR IR. H. BAHRUL ANIF, M.T.",N,Laki-Laki,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat II,Sumatera Barat,Male
5,HENDRI DONALD,N,Laki-Laki,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat II,Sumatera Barat,Male
6,"SYARIFATUL HIDAYAH, A.MD",N,Perempuan,KOTA PADANG,Partai Persatuan Pembangunan,PPP,Sumatera Barat II,Sumatera Barat,Female
1,"H. RUSLI EFFENDI, S.Pd.I, SE., M.Si",N,Laki-Laki,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Male
2,"DR. H. SYAMSURIZAL, SE., MM",N,Laki-Laki,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Male
3,SUCI RAHMAH YUSRAFITRI,N,Perempuan,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Female
4,Drs. H. MISHAR,N,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Male
5,NELAWATI,N,Perempuan,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Female
6,SURYA DARMA,N,Laki-Laki,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Male
7,"RATIH INDAH PRATIWI, SE",N,Perempuan,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau I,Riau,Female
1,AFRIZAL HIDAYAT,N,Laki-Laki,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau II,Riau,Male
2,"H. IKBAL SAYUTI, SE",N,Laki-Laki,JAKARTA TIMUR,Partai Persatuan Pembangunan,PPP,Riau II,Riau,Male
3,AGUSWANTI L,N,Perempuan,JAKARTA BARAT,Partai Persatuan Pembangunan,PPP,Riau II,Riau,Female
4,"DR. H. EMRIZAL PAKIS, SE., MM",N,Laki-Laki,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau II,Riau,Male
5,"Prof. Dr. H. SUFIAN, SH., M.Si",N,Laki-Laki,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau II,Riau,Male
6,ROSMIATI,N,Perempuan,KOTA PEKANBARU,Partai Persatuan Pembangunan,PPP,Riau II,Riau,Female
1,"H. DODI SULARSO, SH",N,Laki-Laki,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Jambi,Jambi,Male
2,"Drs. H. RAHMAD DERITA, M.Pd.I",N,Laki-Laki,KOTA JAMBI,Partai Persatuan Pembangunan,PPP,Jambi,Jambi,Male
3,"IIN INAWATI, S.Pd",N,Perempuan,JAKARTA SELATAN,Partai Persatuan Pembangunan,PPP,Jambi,Jambi,Female
