NUMBER,FULL_NAME,INCUMBENT,SEX,RESIDENCE,PARTY,PARTY_ALIAS,CONSTITUENCY,PROVINCE,SEX_EN
1,"DRS. H ANHARUDDIN, SE, MM",N,Laki-Laki,KOTA SUBULUSSALAM,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Male
2,YAZIR AKRAMULLAH,N,Laki-Laki,KOTA BANDA ACEH,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Male
3,NURTI SARIANI,N,Perempuan,SIMEULUE,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Female
4,HERLINA,N,Perempuan,KOTA BANDA ACEH,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Female
5,NUR MAILIS,N,Perempuan,KOTA SUBULUSSALAM,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Female
6,AHMAD NABIL,N,Laki-Laki,ACEH BESAR,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Male
7,SAFRAN,N,Laki-Laki,JAKARTA TIMUR,Partai Solidaritas Indonesia,PSI,Aceh I,Aceh,Male
1,"KAMARUDDIN, SH",N,Laki-Laki,ACEH TAMIANG,Partai Solidaritas Indonesia,PSI,Aceh II,Aceh,Male
2,"RAMADLAN, ST, MT",N,Laki-Laki,KOTA LHOKSEUMAWE,Partai Solidaritas Indonesia,PSI,Aceh II,Aceh,Male
3,IKA LESTARI,N,Perempuan,BENER MERIAH,Partai Solidaritas Indonesia,PSI,Aceh II,Aceh,Female
4,CUT ERNITA,N,Perempuan,ACEH TENGAH,Partai Solidaritas Indonesia,PSI,Aceh II,Aceh,Female
5,ZAMZAMI,N,Laki-Laki,ACEH TIMUR,Partai Solidaritas Indonesia,PSI,Aceh II,Aceh,Male
6,M HUSNI,N,Laki-Laki,BENER MERIAH,Partai Solidaritas Indonesia,PSI,Aceh II,Aceh,Male
1,"ARIFIN SALEH, SP, MM-CSR",N,Laki-Laki,KOTA BOGOR,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
2,"HOTBEN SINAGA, ST",N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
3,HERTO TRYDE SIBARANI,N,Perempuan,KOTA MEDAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Female
4,EKO MARHENDI J,N,Laki-Laki,KOTA MEDAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
5,Dr. R.DWI PANTJA WIBOWO,N,Laki-Laki,KOTA TANGERANG SELATAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
6,KARINA DEWI HASIBUAN,N,Perempuan,KOTA MEDAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Female
7,EFFENDI SIMAMORA,N,Laki-Laki,KOTA BANDUNG,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
8,SYLVIA RAHMAH LUBIS,N,Perempuan,KOTA MEDAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Female
9,AHMAD FITRIADI MUNAR,N,Laki-Laki,KOTA MEDAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
10,PRIA SANTRI BERINGIN,N,Laki-Laki,KOTA MEDAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara I,Sumatera Utara,Male
1,ANDRIES SIBARANI,N,Laki-Laki,JAKARTA SELATAN,Partai Solidaritas Indonesia,PSI,Sumatera Utara II,Sumatera Utara,Male
2,"SABANUDIN HULU, S.E",N,Laki-Laki,JAKARTA TIMUR,Partai Solidaritas Indonesia,PSI,Sumatera Utara II,Sumatera Utara,Male
3,CHAIRIKA NASUTION,N,Perempuan,DELI SERDANG,Partai Solidaritas Indonesia,PSI,Sumatera Utara II,Sumatera Utara,Female
