WILAYAH;PKB;Gerindra;PDIP;Golkar;NasDem;Garuda;Berkarya;PKS;Perindo;PPP;PSI;PAN;Hanura;Demokrat;PBB;PKPI
ACEH I;69946;106360;19525;161175;70581;5736;34466;73730;7747;74610;10103;153451;9682;173506;21132;5404
ACEH II;19497;93375;49974;39504;26294;3189;8890;40420;3416;29585;6322;20720;5681;67097;8803;1078
BALI;40306;88715;900411;311927;86054;7606;33212;34066;28361;10610;46260;7244;72143;97539;2357;2864
BANTEN I;21672;41446;30367;32974;36959;1506;6386;35362;17461;19962;1795;12794;2780;37624;2396;596
BANTEN II;8116;19187;7952;11070;7107;489;3484;11764;1400;5421;929;8606;2190;11454;1032;315
BANTEN III;98434;159092;236069;135437;45793;4320;34856;144641;28436;47368;47114;64644;23673;89128;11296;3698
BENGKULU;77359;130050;136023;135730;93716;7844;23459;98676;37700;30183;17732;120586;16474;38052;8237;11143
DI YOGYAKARTA;243842;176799;600593;144095;156086;8425;57008;211911;26055;56830;41867;219202;7032;58128;9159;4554
DKI JAKARTA I;18984;57867;82051;17423;12263;956;5020;76475;10317;11123;22261;34327;6064;19589;2482;1137
DKI JAKARTA II;56030;126022;211424;79575;44125;3145;15061;136269;32698;27542;79284;35176;5483;45037;5480;3302
DKI JAKARTA III;1200;5366;11095;2834;4875;110;603;6074;1087;1146;3792;2998;840;2591;418;96
GORONTALO;7169;63422;25976;125908;121922;1669;8543;15470;4104;46342;2202;13647;4078;23599;1178;396
JAMBI;100215;151765;180816;307451;98703;5841;40780;76671;43631;66528;22341;146118;9957;117959;13588;3152
JAWA BARAT I;5068;22556;24460;13364;9142;706;1712;30448;6722;3328;8405;5325;1582;13649;1681;292
JAWA BARAT II;36630;102271;77185;63744;38882;2250;11519;67362;16058;17687;7099;31683;5332;49122;6923;2526
JAWA BARAT III;41679;120387;97003;77372;34390;4112;14964;112993;15581;32814;13880;41082;15522;67979;10688;2043
JAWA BARAT IV;5439;38390;22260;17835;6565;689;2907;29832;3604;8008;3491;24041;3025;22382;1609;426
JAWA BARAT IX;7121;6169;11552;10878;5654;633;1759;3193;2992;1596;590;8140;294;3480;444;88
JAWA BARAT V;16397;90751;39589;45020;16981;1763;12649;49175;9797;25470;4152;27857;2330;23515;2424;1004
JAWA BARAT VI;37322;118354;103897;51253;17699;1979;8610;122801;13498;21826;21144;48704;3472;26601;2735;1621
JAWA BARAT VII;5719;11880;5488;19207;2551;321;2276;5585;1300;1571;400;2167;1019;3677;698;104
JAWA BARAT VIII;56111;55328;94337;117503;32374;2905;14051;37703;17840;15096;9019;18107;10140;29659;1703;924
JAWA BARAT X;16232;21081;54139;41840;5054;764;5067;18943;4593;13315;1039;12802;1196;12627;1047;249
JAWA BARAT XI;134340;293563;124112;92985;32106;5547;30245;107490;14830;87049;4269;75597;3268;88974;13754;1589
JAWA TENGAH I;49676;49544;189988;43848;53148;2277;9452;40969;20394;40500;21395;26458;3039;30059;1637;1129
JAWA TENGAH II;24132;14353;55776;28325;39775;1153;3842;7249;3609;12326;3929;9475;1673;9226;934;260
JAWA TENGAH III;48429;24451;68605;31459;42853;1491;5712;11200;7766;21623;3618;7401;7152;31458;800;404
JAWA TENGAH IV;37131;27044;167129;89185;13001;1246;8044;40960;4612;4318;5761;35677;12310;36328;844;577
JAWA TENGAH IX;97543;84464;138897;45801;11347;1495;6426;37766;14765;23576;3623;26240;5850;30581;1052;518
JAWA TENGAH V;14943;19680;218652;22979;27320;784;5463;32633;6528;3730;13646;18553;991;5854;1251;761
