CONSTITUENCY;SEAT
ACEH I;7
ACEH II;6
BALI;9
BANTEN I;6
BANTEN II;6
BANTEN III;10
BENGKULU;4
DI YOGYAKARTA;8
DKI JAKARTA I;6
DKI JAKARTA II;7
DKI JAKARTA III;8
GORONTALO;3
JAMBI;8
JAWA BARAT I;7
JAWA BARAT II;10
JAWA BARAT III;9
JAWA BARAT IV;6
JAWA BARAT IX;8
JAWA BARAT V;9
JAWA BARAT VI;6
JAWA BARAT VII;10
JAWA BARAT VIII;9
JAWA BARAT X;7
JAWA BARAT XI;10
JAWA TENGAH I;8
JAWA TENGAH II;7
JAWA TENGAH III;9
JAWA TENGAH IV;7
JAWA TENGAH IX;8
JAWA TENGAH V;8
JAWA TENGAH VI;8
JAWA TENGAH VII;7
JAWA TENGAH VIII;8
JAWA TENGAH X;7
JAWA TIMUR I;10
JAWA TIMUR II;7
JAWA TIMUR III;7
JAWA TIMUR IV;8
JAWA TIMUR IX;6
JAWA TIMUR V;8
JAWA TIMUR VI;9
JAWA TIMUR VII;8
JAWA TIMUR VIII;10
JAWA TIMUR X;6
JAWA TIMUR XI;8
KALIMANTAN BARAT I;8
KALIMANTAN BARAT II;4
KALIMANTAN SELATAN I;6
KALIMANTAN SELATAN II;5
KALIMANTAN TENGAH;6
KALIMANTAN TIMUR;8
KALIMANTAN UTARA;3
KEPULAUAN BANGKA BELITUNG;3
KEPULAUAN RIAU;4
LAMPUNG I;10
LAMPUNG II;10
MALUKU;4
MALUKU UTARA;3
NUSA TENGGARA BARAT I;3
NUSA TENGGARA BARAT II;8
NUSA TENGGARA TIMUR I;6
NUSA TENGGARA TIMUR II;7
PAPUA;10
PAPUA BARAT;3
RIAU I;7
RIAU II;6
SULAWESI BARAT;4
SULAWESI SELATAN I;8
SULAWESI SELATAN II;9
SULAWESI SELATAN III;7
SULAWESI TENGAH;7
SULAWESI TENGGARA;6
SULAWESI UTARA;6
SUMATERA BARAT I;8
SUMATERA BARAT II;6
SUMATERA SELATAN I;8
SUMATERA SELATAN II;9
SUMATERA UTARA I;10
SUMATERA UTARA II;10
SUMATERA UTARA III;10
